InstanceType,status,lifetime,Vender
r3.xlarge,1,447,AWS
r3.xlarge,1,2793,AWS
r3.xlarge,1,24405,AWS
r3.xlarge,1,6370,AWS
r3.xlarge,1,510,AWS
r3.xlarge,1,13873,AWS
r3.xlarge,1,7979,AWS
r3.xlarge,1,7815,AWS
r3.xlarge,1,2957,AWS
r3.xlarge,1,952,AWS
r3.xlarge,1,23406,AWS
r3.xlarge,1,8547,AWS
r3.xlarge,1,22109,AWS
r3.xlarge,1,22332,AWS
r3.xlarge,1,16950,AWS
r3.xlarge,1,5104,AWS
r3.xlarge,1,11258,AWS
r3.xlarge,1,2281,AWS
r3.xlarge,1,15249,AWS
r3.xlarge,1,2605,AWS
r3.xlarge,1,980,AWS
r3.xlarge,1,1073,AWS
r3.xlarge,1,3467,AWS
r3.xlarge,1,221,AWS
r3.xlarge,1,6936,AWS
r3.xlarge,1,4129,AWS
r3.xlarge,1,2112,AWS
r3.xlarge,1,7484,AWS
r3.xlarge,1,4405,AWS
r3.xlarge,1,1016,AWS
r3.xlarge,1,12821,AWS
r3.xlarge,1,14119,AWS
r3.xlarge,1,3323,AWS
r3.xlarge,1,48873,AWS
r3.xlarge,1,10282,AWS
r4.4xlarge,1,22,AWS
r4.4xlarge,1,361,AWS
r4.4xlarge,1,875,AWS
r4.4xlarge,1,13807,AWS
r4.4xlarge,1,832,AWS
r4.4xlarge,1,542,AWS
r4.4xlarge,1,1751,AWS
r4.4xlarge,1,1538,AWS
r4.4xlarge,1,8455,AWS
r4.4xlarge,1,16438,AWS
r4.4xlarge,1,1309,AWS
r4.8xlarge,1,2855,AWS
r4.8xlarge,1,941,AWS
r4.large,1,7200,AWS
r4.large,1,20508,AWS
r4.large,1,323,AWS
r4.large,1,28877,AWS
r4.large,1,476,AWS
r4.large,1,1219,AWS
r4.large,1,842,AWS
r4.large,1,7724,AWS
r4.large,1,9167,AWS
r5b.2xlarge,1,63023,AWS
r5b.2xlarge,1,7470,AWS
r5b.2xlarge,1,316,AWS
r5b.2xlarge,1,9899,AWS
r5d.4xlarge,1,6849,AWS
r5dn.xlarge,1,77939,AWS
r6i.2xlarge,1,16550,AWS
r6i.2xlarge,1,32714,AWS
t1.micro,1,22790,AWS
t1.micro,1,122,AWS
t1.micro,1,1996,AWS
t1.micro,1,52755,AWS
t1.micro,1,21850,AWS
t1.micro,1,26416,AWS
t1.micro,1,3742,AWS
t1.micro,1,17525,AWS
t1.micro,1,3878,AWS
t1.micro,1,1481,AWS
t1.micro,1,1866,AWS
t1.micro,1,27544,AWS
t1.micro,1,745,AWS
t1.micro,1,6452,AWS
t1.micro,1,15483,AWS
t1.micro,1,10662,AWS
t1.micro,1,11253,AWS
t1.micro,1,10781,AWS
t2.2xlarge,1,44793,AWS
t3a.2xlarge,1,51576,AWS
t3a.2xlarge,1,1182,AWS
t3a.2xlarge,1,4727,AWS
t3a.2xlarge,1,2765,AWS
t3a.2xlarge,1,6639,AWS
t3a.2xlarge,1,3792,AWS
t3a.2xlarge,1,824,AWS
t3a.2xlarge,1,1610,AWS
t3a.2xlarge,1,251,AWS
